#{"t_start": 1762632990.989535, "env_id": "None"}
r,l,t
-200.0,1,230.545854
58.95,72,231.497683
-200.0,1,231.530814
-200.0,1,231.560386
-200.0,1,231.589593
209.45,110,233.031048
-200.0,1,233.061997
-200.0,1,233.093479
-200.0,1,233.123742
50.4,33,233.565092
-200.0,1,233.595811
-200.0,1,233.625711
-200.0,1,233.654776
937.25,196,236.190216
-200.0,1,236.219917
-200.0,1,236.250927
-200.0,1,236.279327
1744.5,341,240.713557
-200.0,1,240.744305
-200.0,1,240.774828
-200.0,1,240.804784
145.05,62,241.620611
-200.0,1,241.651183
109.85,46,242.69747
-200.0,1,242.728739
-200.0,1,242.75979
-200.0,1,242.79137
-92.8,65,243.65784
-200.0,1,243.689747
-200.0,1,243.721414
-200.0,1,243.751849
1672.25,310,247.756935
-200.0,1,247.788072
-200.0,1,247.817972
-200.0,1,247.846095
169.7,67,248.72384
-200.0,1,248.757994
-200.0,1,248.79045
-200.0,1,248.822066
84.65,106,250.19349
-200.0,1,250.225711
-200.0,1,250.25691
-200.0,1,250.288057
614.2,101,251.624212
-200.0,1,251.657453
-200.0,1,251.689044
-200.0,1,251.720179
-140.75,24,252.026608
-200.0,1,252.05759
-200.0,1,252.089043
-200.0,1,252.119731
-201.55,2,252.1606
-200.0,1,252.19014
-200.0,1,252.221149
391.35,108,253.628083
-200.0,1,253.659701
-200.0,1,253.689792
-200.0,1,253.721514
577.3,171,255.940109
-200.0,1,255.972144
-200.0,1,256.004105
-200.0,1,256.036011
696.7,127,257.697513
-200.0,1,257.729585
-200.0,1,257.759823
-200.0,1,257.788841
1320.3,213,260.545966
-200.0,1,260.577266
-200.0,1,260.608611
-200.0,1,260.638445
822.55,170,262.873305
-200.0,1,262.90629
-200.0,1,262.938627
-200.0,1,262.973259
1531.15,324,267.210494
-200.0,1,267.24407
-200.0,1,267.274867
-200.0,1,267.305482
686.2,201,270.355061
-200.0,1,270.386182
-200.0,1,270.415783
-200.0,1,270.44492
969.5,159,272.544533
-200.0,1,272.575181
-200.0,1,272.6081
-200.0,1,272.637453
-13.95,48,273.265416
-200.0,1,273.295296
-200.0,1,273.326172
-200.0,1,273.356781
456.95,110,274.792172
-200.0,1,274.823484
-200.0,1,274.854173
-200.0,1,274.884033
3246.05,842,285.814756
-200.0,1,285.846118
-200.0,1,285.874575
